Maximum value of enzyme catalytic rates (kapp) across all conditions in units of 1/s. kmax values are obtained by dividing flux through an enzyme by the abundance of the enzyme and taking the maximum across conditions.,,,,,
,,,,,
reaction (model name),bnumber,gene name,kmax per polypeptide chain [s-1],subsystem (according to model),condition
PSP_L,b4388,serB,1481,Glycine and Serine Metabolism,GLC@42deg_BATCH_mu=0.66_S
SDPDS,b2472,dapE,428,Threonine and Lysine Metabolism,GLC@42deg_BATCH_mu=0.66_S
DHAD1,b3771,ilvD,420,"Valine, Leucine, and Isoleucine Metabolism",PYR_BATCH_mu=0.40_S
ACOAD5f_reverse,b0221,fadE,356,,GLC@pH6_BATCH_mu=0.63_S
ACOAD2f_reverse,b0221,fadE,356,,GLC@pH6_BATCH_mu=0.63_S
ACOAD4f_reverse,b0221,fadE,356,,GLC@pH6_BATCH_mu=0.63_S
ACOAD3f_reverse,b0221,fadE,356,,GLC@pH6_BATCH_mu=0.63_S
ACOAD1f_reverse,b0221,fadE,356,,GLC@pH6_BATCH_mu=0.63_S
FADRx,b3844,fre,303,Cofactor and Prosthetic Group Biosynthesis,GLC_CHEM_mu=0.51_P
PFK,b3916,pfkA,278,Glycolysis/Gluconeogenesis,GLC@42deg_BATCH_mu=0.66_S
ACOAD6f_reverse,b0221,fadE,278,,GLC@pH6_BATCH_mu=0.63_S
ACGS,b2818,argA,228,Arginine and Proline Metabolism,GLC_CHEM_mu=0.51_P
GLUDy_reverse,b1761,gdhA,185,,GLC@42deg_BATCH_mu=0.66_S
PGL,b0767,pgl,184,Pentose Phosphate Pathway,GLC_CHEM_mu=0.51_P
AGPAT161,b3018,plsC,160,Glycerophospholipid Metabolism,GLC_CHEM_mu=0.41_P
G6PDH2r,b1852,zwf,155,Pentose Phosphate Pathway,GLC_CHEM_mu=0.50_S
AIRC2,b0522,purK,154,Purine and Pyrimidine Biosynthesis,GLC_CHEM_mu=0.51_P
DHAD2,b3771,ilvD,139,"Valine, Leucine, and Isoleucine Metabolism",PYR_BATCH_mu=0.40_S
AGPAT160,b3018,plsC,136,Glycerophospholipid Metabolism,GLC_CHEM_mu=0.41_P
ACOAD7f_reverse,b0221,fadE,128,,GLC@pH6_BATCH_mu=0.63_S
GARFT,b2500,purN,112,Purine and Pyrimidine Biosynthesis,GLC_CHEM_mu=0.36_P
DAPE,b3809,dapF,84,Threonine and Lysine Metabolism,GLC_CHEM_mu=0.35_S
HSK,b0003,thrB,81,Threonine and Lysine Metabolism,MAN_BATCH_mu=0.47_S
DHQS,b3389,aroB,78,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",FRU_BATCH_mu=0.65_S
DASYN161,b0175,cdsA,78,Glycerophospholipid Metabolism,GLC_BATCH_mu=0.58_S
TPI,b3919,tpiA,72,Glycolysis/Gluconeogenesis,GLYC_BATCH_mu=0.47_S
PGI,b4025,pgi,71,Glycolysis/Gluconeogenesis,GLC+SALTS_BATCH_mu=0.55_S
PAPPT3,b0087,mraY,70,Cell Envelope Biosynthesis,FRU_BATCH_mu=0.65_S
MTHFC,b0529,folD,69,Folate Metabolism,GLC_CHEM_mu=0.46_P
MTHFD,b0529,folD,69,Folate Metabolism,GLC_CHEM_mu=0.46_P
DASYN160,b0175,cdsA,66,Glycerophospholipid Metabolism,GLC_BATCH_mu=0.58_S
GLUPRT,b2312,purF,61,Purine and Pyrimidine Biosynthesis,GLC@pH6_BATCH_mu=0.63_S
DHQTi,b1693,aroD,59,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",GLC_CHEM_mu=0.49_V
MOAT2,b3633,waaA,59,Lipopolysaccharide Biosynthesis / Recycling,XYL_BATCH_mu=0.55_S
MOAT,b3633,waaA,59,Lipopolysaccharide Biosynthesis / Recycling,XYL_BATCH_mu=0.55_S
PFK_3,b3916,pfkA,58,Pentose Phosphate Pathway,GLC@42deg_BATCH_mu=0.66_S
CTECOAI7_reverse,b3846,fadB,55,,GLC@42deg_BATCH_mu=0.66_S
LPADSS,b0182,lpxB,52,Lipopolysaccharide Biosynthesis / Recycling,GLC@pH6_BATCH_mu=0.63_S
PPC,b3956,ppc,46,Anaplerotic Reactions,GLYC_BATCH_mu=0.47_S
UAPGR,b3972,murB,43,Cell Envelope Biosynthesis,MAN_BATCH_mu=0.47_S
FACOAE161,b0452,tesB,43,Cell Envelope Biosynthesis,GLC_CHEM_mu=0.51_P
GK1,b3648,gmk,42,Nucleotide Salvage Pathway,GLC_CHEM_mu=0.51_P
PGK_reverse,b2926,pgk,42,,GLC_CHEM_mu=0.49_V
CHORS,b2329,aroC,42,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",GLC_CHEM_mu=0.51_P
DAPDC,b2838,lysA,40,Threonine and Lysine Metabolism,GLC_CHEM_mu=0.49_V
SERAT,b3607,cysE,38,Cysteine Metabolism,GLC+SALTS_BATCH_mu=0.55_S
PE160abcpp,b0914,msbA,37,"Transport, Inner Membrane",GLC@42deg_BATCH_mu=0.66_S
